IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.172.111.168,4,4,0.00,363.41,0.00
103.172.111.246,4,4,0.00,364.38,0.00
103.172.111.168,4,4,0.00,368.31,0.00
8.211.0.248,4,4,0.00,369.64,0.00
103.172.110.96,4,4,0.00,375.85,0.00
159.223.47.133,4,4,0.00,380.72,0.00
103.172.111.168,4,4,0.00,380.97,0.00
103.172.111.168,4,4,0.00,382.16,0.00
103.172.110.98,4,4,0.00,383.42,0.00
103.172.111.168,4,4,0.00,384.03,0.00
157.245.54.21,4,4,0.00,385.00,0.00
103.172.111.246,4,4,0.00,388.16,0.00
103.172.111.168,4,4,0.00,389.13,0.00
103.172.111.168,4,4,0.00,404.27,0.00
103.172.111.168,4,4,0.00,419.12,0.00
138.2.61.104,4,4,0.00,428.17,0.00
103.172.111.101,4,4,0.00,430.43,0.00
103.172.110.102,4,3,0.25,32.67,0.00
103.172.110.100,4,3,0.25,33.30,0.00
103.172.110.104,4,3,0.25,33.77,0.00
103.172.110.101,4,3,0.25,34.15,0.00
103.172.110.109,4,3,0.25,34.82,0.00
103.172.110.104,4,3,0.25,36.70,0.00
103.172.110.100,4,3,0.25,37.99,0.00
103.172.110.102,4,3,0.25,38.39,0.00
103.172.110.100,4,3,0.25,38.46,0.00
103.172.110.104,4,3,0.25,38.96,0.00
103.172.110.102,4,3,0.25,39.65,0.00
103.172.110.109,4,3,0.25,40.00,0.00
103.172.110.109,4,3,0.25,40.11,0.00
103.172.110.101,4,3,0.25,41.77,0.00
103.172.110.109,4,3,0.25,42.74,0.00
103.172.110.100,4,3,0.25,42.82,0.00
103.172.110.101,4,3,0.25,42.84,0.00
103.172.110.102,4,3,0.25,42.97,0.00
103.172.110.100,4,3,0.25,43.04,0.00
103.172.110.109,4,3,0.25,43.05,0.00
103.172.110.108,4,3,0.25,43.05,0.00
103.172.110.109,4,3,0.25,44.05,0.00
103.172.110.100,4,3,0.25,44.12,0.00
103.172.110.101,4,3,0.25,44.14,0.00
103.172.110.103,4,3,0.25,44.35,0.00
103.172.110.109,4,3,0.25,45.39,0.00
103.172.110.100,4,3,0.25,45.95,0.00
103.172.110.104,4,3,0.25,46.52,0.00
103.172.110.102,4,3,0.25,46.61,0.00
103.172.110.101,4,3,0.25,48.28,0.00
103.172.110.101,4,3,0.25,53.03,0.00
103.172.110.103,4,3,0.25,55.10,0.00
103.172.110.102,4,3,0.25,57.01,0.00
103.172.110.100,4,3,0.25,58.79,0.00
103.172.110.100,4,3,0.25,60.59,0.00
103.172.110.101,4,3,0.25,63.51,0.00
103.172.110.109,4,3,0.25,65.60,0.00
103.172.110.103,4,3,0.25,66.59,0.00
146.56.38.175,4,3,0.25,68.43,0.00
103.172.110.104,4,3,0.25,69.86,0.00
103.172.110.104,4,3,0.25,76.65,0.00
103.172.110.100,4,3,0.25,77.62,0.00
103.172.110.102,4,3,0.25,80.80,0.00
103.172.110.100,4,3,0.25,82.94,0.00
103.172.110.103,4,3,0.25,82.99,0.00
103.172.110.96,4,3,0.25,91.69,0.00
103.172.110.95,4,3,0.25,93.43,0.00
103.172.110.99,4,3,0.25,93.81,0.00
103.172.110.97,4,3,0.25,94.14,0.00
103.172.110.95,4,3,0.25,94.66,0.00
103.172.110.101,4,3,0.25,94.66,0.00
103.172.110.95,4,3,0.25,96.33,0.00
103.172.110.97,4,3,0.25,96.40,0.00
103.172.110.99,4,3,0.25,96.45,0.00
103.172.110.96,4,3,0.25,96.57,0.00
103.172.110.95,4,3,0.25,96.71,0.00
103.172.110.95,4,3,0.25,96.76,0.00
103.172.110.95,4,3,0.25,97.24,0.00
103.172.110.97,4,3,0.25,97.45,0.00
103.172.110.98,4,3,0.25,97.55,0.00
103.172.110.95,4,3,0.25,97.55,0.00
103.172.110.96,4,3,0.25,97.63,0.00
103.172.110.98,4,3,0.25,97.69,0.00
103.172.110.98,4,3,0.25,97.70,0.00
103.172.110.97,4,3,0.25,97.81,0.00
103.172.110.99,4,3,0.25,97.82,0.00
103.172.110.98,4,3,0.25,97.95,0.00
103.172.110.95,4,3,0.25,98.02,0.00
103.172.110.97,4,3,0.25,98.05,0.00
103.172.110.97,4,3,0.25,98.11,0.00
103.172.110.95,4,3,0.25,98.17,0.00
103.172.110.96,4,3,0.25,98.39,0.00
103.172.110.7,4,3,0.25,98.48,0.00
103.172.110.202,4,3,0.25,98.66,0.00
103.172.110.95,4,3,0.25,98.84,0.00
103.172.110.95,4,3,0.25,98.99,0.00
103.172.110.99,4,3,0.25,98.99,0.00
103.172.110.98,4,3,0.25,99.01,0.00
103.172.110.95,4,3,0.25,99.02,0.00
103.172.110.97,4,3,0.25,99.03,0.00
103.172.110.97,4,3,0.25,99.12,0.00
103.172.110.98,4,3,0.25,99.53,0.00
103.172.110.96,4,3,0.25,99.69,0.00
103.172.110.95,4,3,0.25,99.73,0.00
103.172.110.98,4,3,0.25,99.88,0.00
103.172.110.98,4,3,0.25,99.95,0.00
103.172.110.99,4,3,0.25,99.97,0.00
103.172.110.96,4,3,0.25,100.19,0.00
103.172.110.99,4,3,0.25,100.26,0.00
103.172.110.96,4,3,0.25,100.30,0.00
103.172.110.95,4,3,0.25,100.32,0.00
103.172.110.97,4,3,0.25,100.40,0.00
103.172.110.99,4,3,0.25,100.64,0.00
103.172.110.96,4,3,0.25,100.92,0.00
103.172.110.95,4,3,0.25,101.65,0.00
103.172.110.99,4,3,0.25,101.66,0.00
103.172.110.98,4,3,0.25,101.74,0.00
103.172.110.97,4,3,0.25,101.92,0.00
103.172.110.99,4,3,0.25,102.28,0.00
103.172.110.98,4,3,0.25,102.38,0.00
103.172.110.97,4,3,0.25,102.46,0.00
103.172.110.99,4,3,0.25,102.74,0.00
103.172.110.97,4,3,0.25,102.76,0.00
103.172.110.97,4,3,0.25,102.93,0.00
103.172.110.97,4,3,0.25,103.01,0.00
103.172.110.97,4,3,0.25,103.17,0.00
103.172.110.98,4,3,0.25,103.45,0.00
103.172.110.96,4,3,0.25,103.56,0.00
103.172.110.95,4,3,0.25,103.87,0.00
103.172.110.98,4,3,0.25,104.04,0.00
103.172.110.96,4,3,0.25,104.23,0.00
103.172.110.99,4,3,0.25,104.27,0.00
103.172.110.97,4,3,0.25,105.21,0.00
103.172.110.96,4,3,0.25,105.42,0.00
103.172.110.99,4,3,0.25,105.47,0.00
103.172.110.99,4,3,0.25,105.49,0.00
103.172.110.99,4,3,0.25,105.87,0.00
103.172.110.96,4,3,0.25,106.68,0.00
103.172.110.104,4,3,0.25,106.68,0.00
103.172.110.97,4,3,0.25,107.14,0.00
103.172.110.96,4,3,0.25,107.65,0.00
103.172.110.98,4,3,0.25,108.33,0.00
47.245.5.234,4,3,0.25,109.11,0.00
103.172.110.95,4,3,0.25,109.26,0.00
103.172.110.97,4,3,0.25,109.35,0.00
103.172.110.96,4,3,0.25,109.45,0.00
103.172.110.98,4,3,0.25,109.51,0.00
103.172.110.97,4,3,0.25,109.79,0.00
103.172.110.95,4,3,0.25,110.49,0.00
103.172.110.95,4,3,0.25,112.17,0.00
103.172.110.97,4,3,0.25,112.32,0.00
103.172.110.99,4,3,0.25,112.50,0.00
103.172.110.99,4,3,0.25,113.30,0.00
103.172.110.96,4,3,0.25,113.79,0.00
103.172.110.96,4,3,0.25,113.81,0.00
103.172.110.101,4,3,0.25,114.05,0.00
103.172.110.97,4,3,0.25,114.34,0.00
103.172.110.95,4,3,0.25,115.66,0.00
